# This file was machine generated by the rptp2ucm tool
ibm-13125_P100-1997.ucm,34B03345.RPMAP100,334534B0.TPMAP100
ibm-13140_P101-2000.ucm,44B03354.RPMAP101,335444B0.TPMAP101
ibm-13143_P101-2000.ucm,44B03357.RPMAP101,335744B0.TPMAP101
ibm-13145_P101-2000.ucm,44B03359.RPMAP101,335944B0.TPMAP101
ibm-13156_P101-2000.ucm,44B03364.RPMAP101,336444B0.TPMAP101
ibm-13157_P101-2000.ucm,44B03365.RPMAP101,336544B0.TPMAP101
ibm-13162_P101-2000.ucm,44B0336A.RPMAP101,336A44B0.TPMAP101
ibm-13218_P100-1996.ucm,34B033A2.RPMAP100,33A234B0.TPMAP100
ibm-1350_P110-1997.ucm,34B00546.RPMAP110,054634B0.TPMAP110
ibm-1351_P110-1997.ucm,34B00547.RPMAP110,054734B0.TPMAP110
ibm-1362_P100-1997.ucm,34B00552.RPMAP100,055234B0.TPMAP100
ibm-1362_P110-1999.ucm,44B00552.RPMAP110,055244B0.TPMAP110
ibm-1363_P100-1997.ucm,34B00553.RPMAP100,055334B0.TPMAP100
ibm-1363_P10A-1997.ucm,34B00553.RPMAP10A,055334B0.TPMAP10A
ibm-1363_P10B-1998.ucm,34B00553.RPMAP10B,055334B0.TPMAP10B
ibm-1363_P110-1999.ucm,44B00553.RPMAP110,055344B0.TPMAP110
ibm-1363_P11A-1999.ucm,44B00553.RPMAP11A,055344B0.TPMAP11A
ibm-1363_P11B-1999.ucm,44B00553.RPMAP11B,055344B0.TPMAP11B
ibm-1363_P11C-2006.ucm,44B00553.RPMAP11C,055344B0.TPMAP11C
ibm-1364_P100-1997.ucm,34B00554.RPMAP100,055434B0.TPMAP100
ibm-1364_P110-1999.ucm,44B00554.RPMAP110,055444B0.TPMAP110
ibm-13676_P102-2001.ucm,44B0356C.RPMAP102,356C44B0.TPMAP102
ibm-1370_P100-1999.ucm,44B0055A.RPMAP100,055A44B0.TPMAP100
